,If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-8954346068661072425,The technology behind preview photos,A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',Testes unitários vs aceitação - Android Dev BR,Evernote anuncia integração com Google Drive | Google Discovery,Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,"GitLab launches Issue Boards, an open-source task management tool that resembles Trello"
-8950763842769120954,Mobify report reveals impact of mobile website speed,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,Things you probably didn't know you could do with Chrome's Developer Console,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine",Mercado de Cosméticos no Brasil - Setor que não conhece crise!,Top 15 Facebook Open Source Projects You Must Know
-8949113594875411859,"No Brasil, '25% dos celulares ainda são 'Burrofones'",MOBILE TIME - FlyHelo: app permite compartilhamento de jatos e helicópteros em São Paulo,The Future of Business is Design,Resenha - A Chegada,Especial: O papel dos grandes provedores de TI na Rio 2016,"""Consultorias promovem a desvalorização do nosso negócio"" - Meio & Mensagem"
-8948234514303933700,Nova pulseira tecnológica avisa se você já bebeu demais,Burger King aceita pedidos via mensagens no Facebook - Startupi,Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery,Aprendizado de máquina do Google pode detectar retinopatia diabética | Google Discovery,"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!",1º Congresso Brasileiro de IoT - Embarcados
-8900113512825364282,Banking Needs a Customer Experience Wake-Up Call,Confused by blockchains? Revolution vs Evolution,Itaú é pioneiro do blockchain,"No, Apple isn't the next BlackBerry - it's the next Microsoft",Goodbye accountants! Startup builds AI to automate all your accounting,The AI business landscape
-8854146354650101086,"Within a Decade, Retail Banks will be Dead",Here's proof that Google is getting serious about battling Facebook in a key area,"No, Apple isn't the next BlackBerry - it's the next Microsoft",Banking Needs a Customer Experience Wake-Up Call,Pega até em marte! TP-Link lança extensor de WiFi que tem alcance de 3 km²!,Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender
-8813724423497152538,Itaú é pioneiro do blockchain,Brazil's Banco Bradesco Joins R3 Consortium - CoinDesk,Confused by blockchains? Revolution vs Evolution,The Drive to Bank on Digital,Banking Needs a Customer Experience Wake-Up Call,"Elopar lança o ""Digio"", cartão para brigar com Nubank"
-8800029253812071912,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack","Deep-learning algorithm predicts photos' memorability at ""near-human"" levels",Ordering coffee in Italy: the 10 commandments,Joel on Software,How Mark Zuckerberg Led Facebook's War to Crush Google Plus,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday
-8771338872124599367,Funcionários do mês no CoolHow: os Slackbots - CoolHow Creative Lab,The AI business landscape,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel","Hello, TensorFlow!",This Super Accurate Portrait Selection Tech Uses Neural Networks,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning"
-8757701761088346244,Promises | Web Fundamentals - Google Developers,Effective learning through code workshops | Box Blog,The Business Case for Progressive Web Apps,19 Tips For Everyday Git Use,Ubuntu recebe suporte ao React Native e aplicativos de Android e iOS poderão chegar ao sistema,You don't talk about refactoring club
-8742648016180281673,Aposta na inovação,Powering a more connected and collaborative enterprise,Google employees are adding 'Lady' to their job titles to fight sexism,De piada sobre TPM a servir cafezinho: como lidar com machismo no trabalho?,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",The Physical Web
-8717945432162716060,7 Vital SEO Trends for Google Rankings in 2017 | Digital Current,Introduction · Bitcoin para Programadores,Rating the English Proficiency of Countries and Industries Around the World,Campus São Paulo: conheça a primeira turma do Programa de Residentes,Live asynchronously.,"Coca-Cola é 1ª da lista ""Fortune"" a repor toda a água usada | EXAME.com"
-8657415528200615063,WebAssembly Browser Preview,Acesse a versão Material Design do YouTube | Google Discovery,Touch (TV Series 2012-2013),How I sped up the initial render of my Polymer app by 86%,Raspberry Pi with cloud vision at Google I/O - Raspberry Pi,Progressive Web App - first introduced on Google I/O | airberlin
-8627051188605351707,When to make a Git Commit,Sam Newman - Backends For Frontends,Seniority,Post: Just Say mNo to Hungarian Notation,My favorite people and resources to learn Android programming from,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery"
-8618420761918493321,What the Google I/O schedule tells us about the future of Android,"Bots, Messenger and the future of customer service",Seria Stranger Things uma obra de arte do algoritmo da Netflix?,Designing smart notifications,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Up your app's sharing game with DirectShare - Google Developers
-8606063418076691067,"Kotlin in Production - What works, Whats broken",Combining Spring Boot and JDBI,Introducing Kotlin support in Spring Framework 5.0,Standing on the Shoulders of Giants - Built to Adapt,Building Flipkart Lite: A Progressive Web App,The Netflix Tech Blog: Netflix Billing Migration to AWS
-8518096793350810174,"Microsoft adquire LinkedIn por US$ 26,2 bilhões",55 fornecedores de TI que apresentarão novidades no Ciab 2016,The surprising truth about which countries lead in digital,Staying one step ahead at Pixar: An interview with Ed Catmull,Governo brasileiro cria manual para contratação de cloud,Is FinTech Forcing Banking to a Tipping Point?
-8512461968928613053,Bringing easy and fast checkout with Payment Request API | Web Updates - Google Developers,The return of the machinery question,SOA com microserviços - Sensedia,The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove,Google is quietly recording everything you say. Here's how to hear it,"Salesforce buys Demandware for $2.8B, taking a big step into e-commerce"
-8511291357261863413,Dark Scrum,Post: Just Say mNo to Hungarian Notation,Sam Newman - Backends For Frontends,Alecrim/AlecrimCoreData,The Importance of Code Reviews,Pull request first - Practical Blend
-8508606815368130888,Revista PROGRAMAR nº 53 - Agosto de 2016,Nova pulseira tecnológica avisa se você já bebeu demais,Burger King aceita pedidos via mensagens no Facebook - Startupi,Inteligência artificial da IBM criou 'trailer perfeito' para filme,Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery,"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!"
-8467102776052559275,Creating Your Code Review Checklist - DaedTech,On DRY and the cost of wrongful abstractions,The Importance of Code Reviews,bliki: StranglerApplication,StrictMode for Runtime Analysis on Android - Google Developers,VMware Cloud™ on AWS - A Closer Look - frankdenneman.nl
-8404657131309965885,Visa vai testar nas Olimpíadas do Rio um anel para pagamentos,Como a Microsoft está trabalhando com o conceito de IoT - Startupi,Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender,"No, Apple isn't the next BlackBerry - it's the next Microsoft",The AI business landscape,Par de alianças impede que seu parceiro assista Netflix sem você
-8381230866408697127,Inteligência artificial da IBM criou 'trailer perfeito' para filme,Nova pulseira tecnológica avisa se você já bebeu demais,Burger King aceita pedidos via mensagens no Facebook - Startupi,Evernote anuncia integração com Google Drive | Google Discovery,Revista PROGRAMAR nº 53 - Agosto de 2016,"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!"
-8377626164558006982,Bad Writing Is Destroying Your Company's Productivity,AI Is Here to Help You Write Emails People Will Actually Read,Algorithms and architecture for job recommendations,Text summarization with TensorFlow,The AI business landscape,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist
-8370744479086515302,Mobile banking conquista o coração dos brasileiros,Nubank começa a testar seu programa de fidelidade - Empresas Tech,"Say goodbye to traditional customer segmentation "" Banking Technology",Cade autoriza Itaú Unibanco e Mastercard a criarem nova bandeira de cartão,CMN regulamenta abertura de conta de depósito por meio eletrônico,Goodbye accountants! Startup builds AI to automate all your accounting
-8369610219380465981,Nintendo has doubled in value since Pokémon Go's release,The Internet of Things is looking for its VisiCalc,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,How enterprise architects can help ensure success with digital transformations,Do you want Crappy Agile?,Piloto de caça criado por inteligência artificial vence humano em combate simulado
-8340365043226490059,big data = real time,Qual é a real diferença entre Data Storytelling e análise de dados? - CIO,Organizing for digital acceleration: Making a two-speed IT operating model work,Why the customer experience matters,A saga do jovem CEO da Dasa,Design Sprint: onde o design e a velocidade importam
-8314629309720421219,Hacked Website Report - 2016/Q3,Most Interesting APIs in 2016: Cognitive Computing,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,Visa lança desafio para startups de tecnologia - Startupi,"Docker - Build, Ship, and Run Any App, Anywhere",Zuckerberg mostra em vídeo do que sua inteligência artificial 'Jarvis' é capaz
-8287402887944984163,Containers are not VMs,19 Tips For Everyday Git Use,CSS Containment in Chrome 52 | Web Updates - Google Developers,"Apple's new file manager, APFS, is awesome","Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",New MacBook Pro is not a Laptop for Developers Anymore
-8279505492976427918,"Bots, Messenger and the future of customer service",What the Google I/O schedule tells us about the future of Android,AI Is Here to Help You Write Emails People Will Actually Read,Machine Learning and the VP Debate,"Google acquires Synergyse, an interactive training service for Google Apps",Designing smart notifications
-8258529658421542282,Vision API - Image Content Analysis,Quick Tip: Working with the JavaScript Battery API,Comparing React.js to Vue.js for dynamic tabular data,Labelling automated builds on Docker Hub - Microscaling Systems,Chrome DevTools - Console API Reference,Modelando APIs REST com Swagger
-8243488279185272615,"Elopar lança o ""Digio"", cartão para brigar com Nubank",Visa lança desafio para startups de tecnologia - Startupi,The Drive to Bank on Digital,Goodbye accountants! Startup builds AI to automate all your accounting,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,Itaú é pioneiro do blockchain
-8208801367848627943,Ray Kurzweil: The world isn't getting worse - our information is getting better,So you want to sell to banks?,Time to Re-Think Design Thinking,How to Get a Job at Google,Decentralizing IoT networks through blockchain,Especial: O papel dos grandes provedores de TI na Rio 2016
-8204817396973648779,"curso de branding, diferenciação e estratégia de marca",Evernote anuncia integração com Google Drive | Google Discovery,Cinco competências essenciais ao IT Leaders - CIO,Branding é problema seu. E meu.,Designer Creates 13 Perfect Circles to Draw Almost Any Animal,Watch Google's AI master the infamously difficult Atari game Montezuma's Revenge
-8190931845319543363,Machine Learning Is At The Very Peak Of Its Hype Cycle - ARC,Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning","Hello, TensorFlow!",Google researchers teach AIs to see the important parts of images - and tell you about them,The AI business landscape
-8189315446782327370,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Ordering coffee in Italy: the 10 commandments,Joel on Software,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads",What to Expect at WWDC 2016
-8187220755213888616,Organizing for digital acceleration: Making a two-speed IT operating model work,Accenture amplia atuação no Brasil,Especial: O papel dos grandes provedores de TI na Rio 2016,Nubank pode fechar as portas se BC confirmar mudança amanhã,big data = real time,MOBILE TIME - Youse: seguradora digital se diferencia através da interface móvel
-8159730897893673528,"Amazon still crushing cloud competition, says Gartner Magic Quadrant for IaaS - TechRepublic",WeChat's world,WeChat's competitor to Slack has arrived,Nintendo has doubled in value since Pokémon Go's release,Multi-Channel Marketing in 2015 - It's not rocket science.,"How I built an app with 500,000 users in 5 days on a $100 server"
-8142426490949346803,A identidade visual de Budapeste para as Olimpíadas de 2024,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)",Designer Creates 13 Perfect Circles to Draw Almost Any Animal,A nova sede da LEGO na Dinamarca é toda sobre colaboração,Sete Reinos,O que é liderança? Liderança é fazer a diversidade funcionar.
-8085935119790093311,Graph Capabilities with the Elastic Stack,Google's Cloud Machine Learning service is now in public beta,Algorithms and architecture for job recommendations,Machine Learning Is No Longer Just for Experts,How Mark Zuckerberg Led Facebook's War to Crush Google Plus,The AI business landscape
-8043889175123948305,Dicas avançadas de ruby (capybara/cucumber),Top 5 Android Testing Frameworks with Examples,Como o layout de aplicativos influencia o usuário e por que você deveria testá-lo - One Day Testing Blog,"Espresso Intents: não é magia, é tecnologia! - Android Dev BR",BDD Best Practices and Guidelines - Testing Excellence,Sua comunidade de Teste.
-8018192200278263695,Pão de Açúcar tem rombo de R$ 512 milhões com fraude em e-commerce,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,"Como o e-commerce brasileiro pode, enfim, começar a lucrar",Microservices testing,Spring Boot 1.5.1 released
-7986975759046428357,It's The Future,Microsoft's Open Source Love Affair Reaches New Heights,Google researchers teach AIs to see the important parts of images - and tell you about them,Machine Learning Is At The Very Peak Of Its Hype Cycle - ARC,Using behavioral data to improve customer satisfaction,Why Netflix thinks its personalized recommendation engine is worth $1 billion per year
-7891293130731329672,Sobre o Hipsters Ponto Tech,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,Aplicações da Inteligência artificial | Endeavor Brasil,Spark comparison: AWS vs. GCP,Android Mobile Vision restores operation and adds Text API | Android Developers Blog,Microservices - When to React Vs. Orchestrate - Capital One DevExchange
-7862677531530632089,11 incredible ways UK businesses are using chatbots,"Telecoms open shop on Madison Avenue, but will brands buy?",Announcing SyntaxNet: The World's Most Accurate Parser Goes Open Source,Gartner: em 2020 não haverá mais aplicativos,Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC,Google researchers teach AIs to see the important parts of images - and tell you about them
-7838000919054582150,Festival de Fotografia Hercule Florence - Timeline | Facebook,Sete Reinos,De piada sobre TPM a servir cafezinho: como lidar com machismo no trabalho?,A identidade visual de Budapeste para as Olimpíadas de 2024,Duolingo's chatbots help you learn a new language,Why Deep Learning Is Suddenly Changing Your Life
-7826213337362450520,Ciclistas relatam roubos com agressividade na avenida dos Andradas,How it feels to learn Javascript in 2016,Node.js Best Practices - How to Become a Better Developer in 2017 | @RisingStack,Elastic Stack 5.0.0 Released,Benchmarks for the Top Server-Side Swift Frameworks vs. Node.js,Gartner Reprint
-7812176982819372240,Sete Reinos,A identidade visual de Budapeste para as Olimpíadas de 2024,Goodbye accountants! Startup builds AI to automate all your accounting,Designer Creates 13 Perfect Circles to Draw Almost Any Animal,Festival de Fotografia Hercule Florence - Timeline | Facebook,71 erros de português que precisam sumir dos seus e-mails
-7809508238092432842,"If women in tech stop apologizing, we might just be able to shut the sexist shit down. - Athena Talks",Ordering coffee in Italy: the 10 commandments,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,Joel on Software,What to Expect at WWDC 2016
-7722236679806608274,"Chrome 53 Beta: Shadow DOM, PaymentRequest, and Android autoplay",VMware Cloud™ on AWS - A Closer Look - frankdenneman.nl,Serverless Architectures,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,Stackdriver Debugger now works with source code directly in GitHub and Bitbucket,Tasting Dagger 2 on Android
-7681408188643141872,The End Of Apps As We Know Them - Inside Intercom,An overview of web service solutions in Drupal 8,You won't recognize the new world of digital payments without this report,"No, Apple isn't the next BlackBerry - it's the next Microsoft",The Future of Business is Design,Confused by blockchains? Revolution vs Evolution
-7660505434580831027,Empresa britânica adota licença remunerada no período menstrual,A importância dos filmes de mulherzinha - Capitolina,Mulheres são mais criativas que homens?,Google employees are adding 'Lady' to their job titles to fight sexism,Promoting gender equality through emoji �� ��,Criadas para casar
-7646922141533719881,Using Microservices Architecture as API Enablement Strategy,Arquitetura de Microserviços habilitando APIs - Sensedia,The Best Linux Distros of 2016,15 minutos sobre Docker,Serverless real-time architecture on AWS: there is a way !,On Orchestrated Microservices - Built to Adapt
-7623502978685822577,"Don't Start Big, Start a Little Snowball","Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine",Blaise Agüera y Arcas: How computers are learning to be creative,The Internet of Things is looking for its VisiCalc,Mobify report reveals impact of mobile website speed,"Microsoft lança Teams, nova plataforma de chat concorrente do Slack | MacMagazine.com.br"
-7613994611628693820,CMN regulamenta abertura de conta de depósito por meio eletrônico,Nubank começa a testar seu programa de fidelidade - Empresas Tech,Mobile banking conquista o coração dos brasileiros,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,Cade autoriza Itaú Unibanco e Mastercard a criarem nova bandeira de cartão,"Say goodbye to traditional customer segmentation "" Banking Technology"
-7570652411388243006,The compelling case to replace a 40-year old core system - Chris Skinner's blog,Bradesco lança serviço inédito para estimular o hábito de poupar,The Drive to Bank on Digital,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,"Say goodbye to traditional customer segmentation "" Banking Technology",Banking Needs a Customer Experience Wake-Up Call
-7566966163569468290,Watch Google's AI master the infamously difficult Atari game Montezuma's Revenge,Elastic Stack 5.0.0 Released,"Microsoft lança Teams, nova plataforma de chat concorrente do Slack | MacMagazine.com.br",Chrome OS now has Material Design for the desktop,Machine Learning Is No Longer Just for Experts,Closure Compiler in JavaScript
-7564569805639737618,Programação Reativa Funcional com RxJava,"Incrível, Skype se lembrou que o Linux existe!",Android Developers Summer Reading List,Android Mobile Vision restores operation and adds Text API | Android Developers Blog,Testes unitários vs aceitação - Android Dev BR,"Fresco, sim! - Android Dev BR"
-7553931975579248065,Comercial japonês cria cidade de papel com caneta que conduz eletricidade,One Dollar Board: Um projeto brasileiro para revolucionar a educação,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi,big data = real time,"Autofill: What web devs should know, but don't",Acesse a versão Material Design do YouTube | Google Discovery
-7539387928750597096,Smart Contact Lens-Eyeglass Combo Could Monitors Diabetes and Delivers Drugs,Gartner Reprint,JetBrains DataGrip: Your Swiss Army Knife for Databases and SQL,Globo G1 lança Bot para o Telegram que te ajuda a estudar para o Enem,Gartner Reprint,Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets
-7518373517401484139,My favorite people and resources to learn Android programming from,Post: Just Say mNo to Hungarian Notation,Sam Newman - Backends For Frontends,Firebase Test Lab for Android,Advanced Android Espresso,The Importance of Code Reviews
-7508055250504867652,Cia. Hering sincroniza diferentes marcas em um único portal de compras,Por que o Walmart não é Walmart no Brasil,"Have a Coke, take a photo and celebrate the Coke bottle's 100th anniversary using How-Old.net",Coca-Cola Is Paying $575 Million for Unilever's Soy Drink Business,From E-Commerce to Web 3.0: Let the Bots Do the Shopping,Não existe frete grátis!
-7492067511846042603,"What's new in Android: the N-Release, Virtual Reality, Android Studio 2.2 and more | Android Developers Blog",Migrating from Parse to Bluemix,O que o GitHub tem a nos dizer sobre os estereótipos entre programadores | Tecnoblog,Olli: Artificial Intelligence for the real world of connected commuting,Post: Just Say mNo to Hungarian Notation,Sam Newman - Backends For Frontends
-7463305179076477879,"Salesforce buys Demandware for $2.8B, taking a big step into e-commerce",The return of the machinery question,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,The barbell effect of machine learning.,Making open source data more available,Bad Writing Is Destroying Your Company's Productivity
-7423191370472335463,"Espresso Intents: não é magia, é tecnologia! - Android Dev BR",Top 5 Android Testing Frameworks with Examples,Como o layout de aplicativos influencia o usuário e por que você deveria testá-lo - One Day Testing Blog,Dicas avançadas de ruby (capybara/cucumber),The Broken Window Theory,Sua comunidade de Teste.
-7399665664688732365,Touch (TV Series 2012-2013),Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender,The AI business landscape,Progressive Web App - first introduced on Google I/O | airberlin,Acesse a versão Material Design do YouTube | Google Discovery,Text summarization with TensorFlow
-7387185690512762935,Angular 2 versus React: There Will Be Blood - Free Code Camp,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,"Microsoft lança Teams, nova plataforma de chat concorrente do Slack | MacMagazine.com.br",Anti-If: The missing patterns,My favorite people and resources to learn Android programming from,Tasting Dagger 2 on Android
-7342604649736473979,Docker 1.12: Now with Built-in Orchestration!,Java Tools and Technologies Landscape Report 2016 | zeroturnaround.com,The five phases of migrating to Google Cloud Platform,Decentralizing IoT networks through blockchain,"Ganhe 6 meses de acesso ao Pluralsight, maior plataforma de treinamento online",Why Is Learning Drupal Hard?
-7331393944609614247,Here's proof that Google is getting serious about battling Facebook in a key area,The return of the machinery question,Two Different Sales Motions . . . .,The AI business landscape,Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender,Touch (TV Series 2012-2013)
-7294716554902079523,Usando o git add interativo,Listas com RecyclerView - Android Dev BR,Sobre o Hipsters Ponto Tech,The Ten Commandments of Egoless Programming,Mobify report reveals impact of mobile website speed,Elasticsearch: CSV exporter for Kibana Discover
-7264217791213422584,Qual é o valor da área de T&D na sua empresa?,Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,"Life Coach vs. Therapist, Learn the Difference | Tony Robbins",O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Lean IT is all about people - o Lean na TI é focado em pessoas,4 Reasons Managers Should Spend More Time on Coaching
-7217198366041991957,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção",The Genderbread Person v3 | It's Pronounced Metrosexual,Workplace diversity in Brazil: there's still a long way to go,"No dia das mães, Avon lança campanha com mãe de jovem gay","Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss"
-7169261479876586557,Carteira inteligente tem trava biométrica e controle por aplicativo - Gadgets,Elastic Stack 5.0.0 Released,Watch Google's AI master the infamously difficult Atari game Montezuma's Revenge,What Apple's differential privacy means for your data and the future of machine learning,Natura inova e cria bot para auxiliar consumidores a escolherem presentes de natal - Startupi,'The Simpsons' celebrates 600 episodes with a VR couch gag
-7162567255723313045,Chatbots: Are they better without the chat?,O tênue equilíbrio da equipe que desenha produtos digitais,Running GV sprints inside corporates - learn from my mistakes - Sprint Stories,Transforming life insurance with design thinking,#FinTech is all about human-centred design - Chris Skinner's blog,Accenture amplia atuação no Brasil
-7126520323752764957,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",5 reasons your employees aren't sharing their knowledge,"Hello, TensorFlow!",Wide & Deep Learning: Better Together with TensorFlow,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning",The AI business landscape
-7120369133608664808,É chegada a hora do desenvolvimento de software orientado por hipóteses - CIO,The future of the shopping mall,"Forget The Internet Of Things, There Is A Digital Revolution Taking Place In Our Shopping Malls",MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,Shopping app Spring's redesign could be a game-changer,Engineering Digital Banking Solutions Using UX Methodology
-7113155163062752691,Arquitetura de Microserviços habilitando APIs - Sensedia,Using Microservices Architecture as API Enablement Strategy,Communication patterns in a Microservice world,How to build cross-platform mobile apps using nothing more than a JSON markup,15 minutos sobre Docker,IoT a favor do relacionamento médico-paciente
-7047448754687279385,Plano nacional de ''internet das coisas'' sai em fevereiro,Gartner Reprint,Globo G1 lança Bot para o Telegram que te ajuda a estudar para o Enem,Smart Contact Lens-Eyeglass Combo Could Monitors Diabetes and Delivers Drugs,The technology behind preview photos,Berners-Lee quer criar outra Web
-6999287066519531005,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,Meet Aquifer: A build system for easier Drupal development,Acquia Engage Awards Finalists Announced,Dries Buytaert,The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove,Cross-channel user experiences with Drupal
-6980020268309524947,Cross-channel user experiences with Drupal,An overview of web service solutions in Drupal 8,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,The return of the machinery question,Acquia Engage Awards Finalists Announced,The AI business landscape
-6872546942144599345,My experience with Google's Associate Android Developer Certification,Why Learning Angular 2 Was Excruciating,Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership,Using DiffUtil in Android RecyclerView,"HoloLens, da Microsoft, engana o usuário para consertar conexões falhas do cérebro",Microsoft's Open Source Love Affair Reaches New Heights
